order_id,most_recent_status,most_recent_status_change_time,preceding_event_time,following_event_time,period_of_time,count_polling_events,status_code,count_status_code,error_code,count_error_code
102513750,,,2020-02-26T12:40:46.456+01:00,2020-02-26T12:41:01.763+01:00,THREE_MINUTES_BEFORE,11,200,11,,11
102513750,,,2020-02-26T12:40:46.456+01:00,2020-02-26T12:41:01.763+01:00,ONE_HOUR_BEFORE,232,200,232,,232
102513750,,,2020-02-26T12:40:46.456+01:00,2020-02-26T12:41:01.763+01:00,THREE_MINUTES_AFTER,12,200,12,,12
102535727,,,2020-02-26T14:30:47.042+01:00,2020-02-26T14:34:11.800+01:00,THREE_MINUTES_BEFORE,3,200,3,,3
102535727,,,2020-02-26T14:30:47.042+01:00,2020-02-26T14:34:11.800+01:00,THREE_MINUTES_AFTER,8,200,8,,8
102535727,,,2020-02-26T14:30:47.042+01:00,2020-02-26T14:34:11.800+01:00,ONE_HOUR_BEFORE,223,200,223,,223
102551214,ONLINE,2020-02-26T15:14:18.038+01:00,2020-02-26T15:53:59.800+01:00,2020-02-26T15:54:15.454+01:00,ONE_HOUR_BEFORE,231,200,231,,231
102551214,ONLINE,2020-02-26T15:14:18.038+01:00,2020-02-26T15:53:59.800+01:00,2020-02-26T15:54:15.454+01:00,THREE_MINUTES_AFTER,12,200,12,,12
102551214,ONLINE,2020-02-26T15:14:18.038+01:00,2020-02-26T15:53:59.800+01:00,2020-02-26T15:54:15.454+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
102565868,,,2020-02-26T17:06:24.239+01:00,2020-02-26T17:06:39.979+01:00,THREE_MINUTES_AFTER,9,200,9,,9
102565868,,,2020-02-26T17:06:24.239+01:00,2020-02-26T17:06:39.979+01:00,ONE_HOUR_BEFORE,28,200,28,,28
102565868,,,2020-02-26T17:06:24.239+01:00,2020-02-26T17:06:39.979+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
102594830,,,2020-02-26T18:47:11.061+01:00,2020-02-26T18:49:00.918+01:00,ONE_HOUR_BEFORE,17,200,16,,16
